id,Label,weignt,group,lat,lng
001p,Archives départementales des Pyrénées-Atlantiques,30,2021,43.48333 ,1.56667 
002p,Archives nationales,170,2022,48.866669 ,2.33333 
003p,Archives départementales du Pas-de-Calais,20,2022,50.950001 ,1.83333
004p,Archives départementales de Lozère,10,2023,44.51667 ,3.5 
005p,Archives municipale de Strasbourg,20,2022,48.583328 ,7.75 
006p,Archives départementales de Maine-et-Loire,10,2020,47.466671 ,-0.55 
007p,Archives départementales du Nord,30,2021,50.633331 ,3.06667 
008p,Archives nationales d'Outre-Mer,20,2022,43.533329 ,5.43333 
009p,Archives nationales du monde du travail,10,2020,50.683636 ,3.165532 
010p,Centre des archives diplomatiques de Nantes,20,2021,47.21667 ,-1.55 
011p,Archives départementales de Seine-Saint-Denis,10,2021,48.933331 ,2.35833 
012p,Archives départementales du Val d'Oise,10,2022,49.033329 ,2.06667 
013p,Archives départementales des Yvelines,10,2022,48.808193 ,2.12667 
014p,Archives départementales des Alpes-Maritimes,10,2021,43.700001 ,7.25 
015p,Archives municipales de Blois,10,2022,47.583328 ,1.33333 
01a,Rome,40,2024,41.8919300 ,12.5113300 
02a,Turiin,10,2024,45.070312 ,7.6868565 
03a,Barcelonne,10,2024,41.3887900 ,2.1589900 
04a,Pampelune,20,2024,42.81798790 ,-1.64418350
05a,stuttgart,10,2024,48.769830 ,9.182640 
06a,Suisse,20,2024,46.8155135,8.224471999999992
07a,Pologne,30,2024,51.9227505,19.136874499999976
09a,Berlin,40,2024,52.5243700,13.4105300
10a,New york,20,2024,40.712784 ,-74.005941 
11a,San Sebastian,10,2024,"
43.324652 ",-1.991701 
12a,Luxembourg,20,2024,49.8157635,6.1315139999999815
13a,Padoue,10,2024,45.406435 ,11.876761 
14a,Tokyo,10,2024,34.886306,134.379711
15a,Bruxelle-Belgique,30,2024,50.8504500 ,4.3487800 
16a,Bologne,20,2024,44.494887 ,11.3426163 
17a,Cologne,10,2024,50.937531,6.9602786
18a,Pays-Bas,20,2024,52.133057,5.29525000000001
19a,Autriche,10,2024,47.6975425,13.34931899999998
20a,Abu Dhabi,10,2024,24.3587446212765,53.98249435424799
21a,Cambridge USA,10,2024,42.373616,-71.109733
22a,Corée,10,2024,35.9016955,127.73588949999998
